,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
127,00:18:25:12:72:f0,Coolnet-Hotspot,7,-92,32.10283875,35.20978221,708.273839,03/12/2017 09:04,Approx. w-center algo1,,0,0,,Coolnet-Hotspot,00:18:25:12:72:f0,7,-92,32.10283875,35.20978221,708.273839
4,3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,6,-67,32.10293021,35.20969478,707.5519127,03/12/2017 09:08,Approx. w-center algo1,,0,0,,DIRECT-3B-HP DeskJet 3630 series,3c:52:82:ef:c4:3c,6,-72,32.10293021,35.20969478,707.5519127
21,1c:b9:c4:12:7c:c8,Ariel_University,11,-73,32.10295457,35.2088043,686,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:12:7c:c8,11,-73,32.10295457,35.2088043,686
6,1c:b9:c4:95:ec:37, ,36,-78,32.10295801,35.20967774,707.8478869,03/12/2017 09:08,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:ec:37,36,-84,32.10295801,35.20967774,707.8478869
106,1c:b9:c4:14:30:3c,Ariel_University,44,-76,32.10296049,35.20969913,702.14288,03/12/2017 09:00,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:30:3c,44,-76,32.10296049,35.20969913,702.14288
14,1c:b9:c4:16:ed:3c,Ariel_University,44,-74,32.10296049,35.20969913,702.14288,03/12/2017 09:00,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:ed:3c,44,-74,32.10296049,35.20969913,702.14288
67,1c:b9:c4:94:30:37, ,44,-79,32.10296049,35.20969913,702.14288,03/12/2017 09:00,Approx. w-center algo1,,0,0,,,1c:b9:c4:94:30:37,44,-79,32.10296049,35.20969913,702.14288
52,1c:b9:c4:92:af:77, ,40,-72,32.10296378,35.20968968,704.7471856,03/12/2017 09:03,Approx. w-center algo1,,0,0,,,1c:b9:c4:92:af:77,40,-79,32.10296378,35.20968968,704.7471856
31,1c:b9:c4:12:af:7c,Ariel_University,40,-72,32.10298497,35.20966477,704.8276915,03/12/2017 09:03,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:12:af:7c,40,-77,32.10298497,35.20966477,704.8276915
117,1c:b9:c4:15:ec:3c,Ariel_University,36,-77,32.10299184,35.2096724,704.9567757,03/12/2017 09:03,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:ec:3c,36,-82,32.10299184,35.2096724,704.9567757
10,8c:0c:90:2d:75:e8,Ariel_University,1,-77,32.10299287,35.20872474,686.1497894,03/12/2017 08:54,Approx. w-center algo1,,0,0,,DIRECT-B1-HP DeskJet 3830 series,70:5a:0f:57:04:17,11,-74,32.10299287,35.20872474,686.1497894
119,1c:b9:c4:96:ed:37, ,44,-77,32.10302085,35.20966437,702.8302349,03/12/2017 09:02,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:ed:37,44,-82,32.10302085,35.20966437,702.8302349
111,1c:b9:c4:95:1c:b7, ,36,-90,32.10303985,35.20968827,703.1159416,03/12/2017 09:02,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:1c:b7,36,-90,32.10303985,35.20968827,703.1159416
12,1c:b9:c4:15:ec:38,Ariel_University,6,-78,32.10305306,35.20978446,693,03/12/2017 08:55,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:ec:38,6,-78,32.10305306,35.20978446,693
64,1c:b9:c4:96:d2:87, ,44,-83,32.1031268,35.20918233,695.5706069,03/12/2017 08:54,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:d2:87,44,-83,32.1031268,35.20918233,695.5706069
125,1c:b9:c4:16:f1:5c,Ariel_University,52,-75,32.1032452,35.20977924,707.2504239,03/12/2017 09:07,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:f1:5c,52,-83,32.1032452,35.20977924,707.2504239
20,1c:b9:c4:96:f4:77, ,36,-81,32.10326981,35.20978049,710.8779586,03/12/2017 09:07,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:f4:77,36,-91,32.10326981,35.20978049,710.8779586
110,ec:8c:a2:08:78:c8,Ariel_University,6,-77,32.10329589,35.2088191,686,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,e0:10:7f:1a:bd:98,6,-88,32.10329589,35.2088191,686
60,1c:b9:c4:14:2b:8c,Ariel_University,44,-82,32.10332787,35.20965551,704.8397895,03/12/2017 09:03,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:2b:8c,44,-82,32.10332787,35.20965551,704.8397895
37,1c:b9:c4:94:2b:87, ,44,-88,32.10337114,35.20971025,704.1006958,03/12/2017 09:03,Approx. w-center algo1,,0,0,,,1c:b9:c4:94:2b:87,44,-88,32.10337114,35.20971025,704.1006958
